county,constituency_name,constituency,office_location,clean_office_location,landmark,source,created_at,geocode_status,latitude,longitude,formatted_address,geocode_method,geocode_confidence,geocode_service,result_type,importance_score
Mombasa,Constituency Name Office Location Most Conspicuous Landmark Estimated Distance to the Office,Constituency Name Office Location Most Conspicuous Landmark Estimated Distance to the Office,Changamwe At Changamwe firestation Changamwe firestation 0 meters,Changamwe At Changamwe firestation Changamwe firestation 0 meters,Jomvu Mikindani Police Station Mikindani Police Station 0 meters,IEBC PDF - Physical Locations of County and Constituency Offices in Kenya,2026-02-14T02:44:45.204507,failed,,,,,,,,
Kwale,Constituency Name Office Location Most Conspicuous Landmark Estimated Distance to the Office,Constituency Name Office Location Most Conspicuous Landmark Estimated Distance to the Office,Msambweni Msambweni Dcc's Office Compound Subcounty Headquarters of 100 Metres,Msambweni Msambweni Dcc's Office Compound Subcounty Headquarters of 100 Metres,Lungalunga Mbuyuni Area Next to Rafiki Yetu Building Mnarani (Communication Mast) 100 Metres,IEBC PDF - Physical Locations of County and Constituency Offices in Kenya,2026-02-14T02:44:45.206711,failed,,,,,,,,
Kwale,,,Information Offices,Information Offices,"Kinango Bebora Plaza, 3rd Floor, Kinango Town Chief's Office Kinango Town 10 Metres",IEBC PDF - Physical Locations of County and Constituency Offices in Kenya,2026-02-14T02:44:45.207865,failed,,,,,,,,
Kilifi,,,Kaloleni Adjacent To St.Johns Girls Sec. School Ack Church Kaloleni 50 Metres,Kaloleni Adjacent To St.Johns Girls Sec. School Ack Church Kaloleni 50 Metres,Rabai Shikaadabu Cdf Office/Shikaadabu Dispensary 500 Metres,IEBC PDF - Physical Locations of County and Constituency Offices in Kenya,2026-02-14T02:44:45.211614,failed,,,,,,,,
Tana River,Constituency Name Office Location Most Conspicuous Landmark Estimated Distance to the Office,Constituency Name Office Location Most Conspicuous Landmark Estimated Distance to the Office,Garsen Garsen Town Kcb Bank 100 Metres,Garsen Garsen Town Kcb Bank 100 Metres,Galole Hola Town Kenya Medical Training 50 Metres,IEBC PDF - Physical Locations of County and Constituency Offices in Kenya,2026-02-14T02:44:45.212618,failed,,,,,,,,
Garissa,,,Balambala Balambala Town Next To Dc’s Office,Balambala Balambala Town Next To Dc’s Office,"Lagdera Modogashe Town, Opposite Police Station",IEBC PDF - Physical Locations of County and Constituency Offices in Kenya,2026-02-14T02:44:45.216806,failed,,,,,,,,
Wajir,,,Tarbaj Tarbaj Ward Administrator’s Office 50 Metres,Tarbaj Tarbaj Ward Administrator’s Office 50 Metres,,IEBC PDF - Physical Locations of County and Constituency Offices in Kenya,2026-02-14T02:44:45.218310,failed,,,,,,,,
Wajir,,,Eldas Eldas DC‘s Residence 50 Metres,Eldas Eldas DC‘s Residence 50 Metres,,IEBC PDF - Physical Locations of County and Constituency Offices in Kenya,2026-02-14T02:44:45.220045,failed,,,,,,,,
Mandera,Constituency Name Office Location Most Conspicuous Landmark Estimated Distance to the Office,Constituency Name Office Location Most Conspicuous Landmark Estimated Distance to the Office,"Banissa Banissa Town, Along Banissa-Rhamu Road Next to Malkamari Hotel 20 Meters","Banissa Banissa Town, Along Banissa-Rhamu Road Next to Malkamari Hotel 20 Meters",,IEBC PDF - Physical Locations of County and Constituency Offices in Kenya,2026-02-14T02:44:45.220820,failed,,,,,,,,
Mandera,,,Lafey Lafey Town Next To Lafey Primary School 100 Metres,Lafey Lafey Town Next To Lafey Primary School 100 Metres,,IEBC PDF - Physical Locations of County and Constituency Offices in Kenya,2026-02-14T02:44:45.225475,failed,,,,,,,,
